09/17/2017, 15/12/24, BTC ,41 ,-0.01, 3608.32 LTC ,1 ,-0.38, 48.9688 ETH ,8 ,0.11, 252.365 
09/17/2017, 15/12/54, BTC ,39 ,0.14, 3608.32 LTC ,3 ,0.09, 48.9688 ETH ,17 ,0.22, 252.365 
09/17/2017, 15/13/24, BTC ,24 ,0.12, 3608.32 LTC ,3 ,-0.08, 48.9688 ETH ,3 ,0.25, 252.365 
09/17/2017, 15/13/55, BTC ,34 ,0.17, 3608.32 LTC ,4 ,0.31, 48.9688 ETH ,11 ,0.1, 252.365 
09/17/2017, 15/14/26, BTC ,52 ,0.13, 3608.32 LTC ,1 ,0.28, 48.9688 ETH ,14 ,0.02, 252.365 
09/17/2017, 15/14/57, BTC ,36 ,0.11, 3608.32 LTC ,1 ,0.38, 48.9688 ETH ,4 ,0.0, 252.365 
09/17/2017, 15/15/27, BTC ,77 ,0.16, 3620.3 LTC ,9 ,-0.01, 49.045 ETH ,29 ,0.12, 253.919 
09/17/2017, 15/15/58, BTC ,44 ,0.03, 3620.3 LTC ,6 ,-0.04, 49.045 ETH ,15 ,0.14, 253.919 
09/17/2017, 15/16/30, BTC ,26 ,0.11, 3620.3 LTC ,5 ,0.05, 49.045 ETH ,13 ,0.04, 253.919 
09/17/2017, 15/17/01, BTC ,28 ,0.16, 3620.3 LTC ,1 ,0.85, 49.045 ETH ,12 ,0.41, 253.919 
09/17/2017, 15/17/33, BTC ,58 ,0.22, 3620.3 LTC ,7 ,0.15, 49.045 ETH ,21 ,0.19, 253.919 
09/17/2017, 15/18/04, BTC ,26 ,0.11, 3620.3 LTC ,6 ,0.06, 49.045 ETH ,6 ,0.24, 253.919 
09/17/2017, 15/18/35, BTC ,29 ,0.06, 3620.3 LTC ,6 ,0.04, 49.045 ETH ,11 ,0.19, 253.919 
09/17/2017, 15/19/05, BTC ,31 ,0.0, 3620.3 LTC ,5 ,-0.03, 49.045 ETH ,14 ,0.06, 253.919 
09/17/2017, 15/19/35, BTC ,39 ,0.01, 3620.3 LTC ,2 ,-0.2, 49.045 ETH ,14 ,0.07, 253.919 
09/17/2017, 15/20/05, BTC ,55 ,0.16, 3620.3 LTC ,10 ,0.28, 49.045 ETH ,18 ,0.08, 253.919 
09/17/2017, 15/20/35, BTC ,56 ,0.2, 3620.3 LTC ,3 ,0.13, 49.045 ETH ,16 ,0.13, 253.919 
09/17/2017, 15/21/05, BTC ,31 ,0.06, 3620.3 LTC ,5 ,-0.02, 49.045 ETH ,10 ,0.19, 253.919 
09/17/2017, 15/21/38, BTC ,51 ,0.04, 3623.16 LTC ,5 ,0.06, 49.2052 ETH ,27 ,0.23, 253.885 
09/17/2017, 15/22/09, BTC ,29 ,0.04, 3623.16 LTC ,3 ,0.09, 49.2052 ETH ,8 ,0.07, 253.885 
09/17/2017, 15/22/40, BTC ,49 ,-0.0, 3623.16 LTC ,1 ,0.0, 49.2052 ETH ,14 ,0.02, 253.885 
09/17/2017, 15/23/10, BTC ,34 ,0.08, 3623.16 LTC ,2 ,-0.16, 49.2052 ETH ,10 ,0.25, 253.885 
09/17/2017, 15/23/43, BTC ,64 ,0.06, 3623.16 LTC ,4 ,-0.02, 49.2052 ETH ,22 ,0.17, 253.885 
09/17/2017, 15/24/14, BTC ,40 ,0.14, 3623.16 LTC ,0 ,N/A, 49.2052 ETH ,4 ,0.25, 253.885 
09/17/2017, 15/24/44, BTC ,48 ,-0.01, 3623.16 LTC ,5 ,0.13, 49.2052 ETH ,20 ,-0.03, 253.885 
09/17/2017, 15/25/15, BTC ,55 ,0.07, 3622.48 LTC ,4 ,0.08, 49.179 ETH ,14 ,0.22, 253.816 
09/17/2017, 15/25/46, BTC ,57 ,-0.0, 3622.48 LTC ,5 ,0.09, 49.179 ETH ,11 ,0.21, 253.816 
09/17/2017, 15/26/17, BTC ,53 ,0.06, 3622.48 LTC ,5 ,-0.06, 49.179 ETH ,23 ,0.09, 253.816 
